index,residual,influ,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
1.000000000000000000e+01,3.533987641038288530e+01,1.266460450263622306e-01,5.680276994114647948e+01,2.011718273960632786e+01,3.005352973325598143e+00,5.336175846572361464e-02,-1.095798447390135877e+00,8.654279374962591254e-01,7.476050694864816437e-02,3.156441984823171731e-02,1.031192235724502900e-07,9.377405673128388268e-05
1.100000000000000000e+01,7.406380158163926808e+00,2.582704188246164045e-02,-3.252357799121284643e+01,4.851442002883476334e+01,-1.224497195025179508e+01,9.913762796992166282e-02,-3.338880363098943871e-01,3.977989840792167664e-01,2.971340492529867330e-02,2.734895002868439895e-02,3.871172607295900573e-08,3.019509684016287039e-05
1.200000000000000000e+01,7.253217161141884617e+01,9.979181469862320741e-02,1.639253996997967135e+02,-4.826202559241108858e+00,-5.926461901026318202e+01,2.014551987005155087e-01,-2.656172462518680000e+00,1.127769995768610922e+00,7.064026492969886772e-02,3.594616384667763398e-02,1.189936032189095929e-07,1.243110032304396207e-04
1.300000000000000000e+01,5.102075778131055017e+01,8.577623158191820252e-02,6.686809980367146977e+01,1.200555467091108675e+01,4.795315107951765299e+00,5.701748235670234949e-02,-1.178594051685093902e+00,8.291639162190374002e-01,6.952557293307848330e-02,2.815593582970049580e-02,9.909096669109458479e-08,9.355956894574671951e-05
1.400000000000000000e+01,-2.337955401297509184e+01,1.130985202835247255e-01,8.456418002122146049e+01,2.808109404071509374e+01,-2.229994893405545753e+01,1.099143155220199397e-01,-2.032462611046865764e+00,1.598657333047413864e+00,7.563909317329962911e-02,6.709285804823306165e-02,1.097351961976826726e-07,1.360017858986882098e-04
1.500000000000000000e+01,4.659387191328697497e+01,7.519071332826295084e-02,9.639208131569925797e+01,3.619520125063764482e+01,-3.732215548579628717e+01,1.270521685098582876e-01,-1.304836160234478459e+00,6.674259438242547970e-01,7.076734365975020924e-02,4.151489068060658372e-02,9.873873678096502934e-08,6.071162326926498362e-05
1.600000000000000000e+01,1.663001461125185756e+02,1.148875070970388906e-01,-6.531326942116447754e+01,2.632776347269444983e+01,-2.219061657409341137e+00,1.187892459125269862e-01,-2.112653000373294621e-01,4.448557085505653319e-01,4.186160188118672604e-02,3.256403617610056922e-02,3.465837092919603372e-08,4.379065734287599927e-05
1.700000000000000000e+01,7.929549465923770413e+00,8.572933366828859592e-02,1.062493212857855838e+02,2.793869909549172803e+01,-2.792302852441365246e+01,1.296820820540136865e-01,-2.708424129997282659e+00,1.089693483230976589e+00,7.170234062190222746e-02,4.792323974688969535e-02,1.251840051627092416e-07,1.627036764830899133e-04
1.800000000000000000e+01,-4.135734233233626611e+01,4.258921108835675429e-02,1.261641519945425216e+02,2.829066353033070413e+01,-2.655926754494169018e+01,1.115772971618995690e-01,-2.667904828118476512e+00,8.104382922996473670e-01,5.949813696865569740e-02,4.044061051197592876e-02,1.063296310201955002e-07,1.177192973781326598e-04
1.900000000000000000e+01,-6.310744372411799219e+01,6.142445675436489921e-02,-3.470142651575896764e+01,1.705778440389714490e+01,1.038636105984731905e+01,8.316446784203818110e-02,-5.720501155416235495e-01,5.786750271041926075e-01,5.193856343926577662e-02,2.784985881794567811e-02,9.684536871884490288e-08,5.312890154128290145e-05
2.000000000000000000e+01,-1.496517641259229947e+01,6.186901286164484676e-02,5.274039824927067599e+01,-4.099913349948471009e+00,7.854476678049238103e+00,7.898198192251293381e-02,-1.085965191749840519e+00,7.532124599785994246e-01,7.312891328382926937e-02,3.543306620699281789e-02,1.174880179853526815e-07,7.703385524518792154e-05
2.100000000000000000e+01,-3.098700871748283703e+01,1.354357033283319911e-01,1.253122114378219578e+02,-2.145854740205228595e+01,-3.378485199278870965e+01,1.464486650580964777e-01,-1.048170189894463755e+00,2.987590982151762997e+00,1.597442340753499612e-01,1.110802405671679066e-01,2.740343094356701125e-07,2.835335443922320153e-04
2.200000000000000000e+01,-6.715635804694947808e+01,5.257393693606875196e-02,2.841900130236113142e+01,1.641875314996732982e+01,-6.829987764886542578e+00,5.929748051796304709e-02,-3.690837447336993704e-01,4.812099340195786223e-01,5.077881420398860229e-02,2.332028055694702548e-02,7.708748330620288601e-08,4.953791400117803695e-05
2.300000000000000000e+01,-2.932779976446606724e+02,7.750690791839631721e-01,1.506787239402075329e+02,1.552968536734122438e+02,-3.329276715677112719e+01,6.620067046098733476e-02,-2.973144704131084115e+00,1.340881841275163966e+00,4.859127954207297095e-02,9.124921448179605654e-02,2.777078173602529647e-08,6.468316887176641446e-05
2.400000000000000000e+01,-4.995263379042616236e+01,1.179860297023651583e-01,-8.761691481128693226e+00,6.256675517166959111e+01,5.982623728735381619e+00,4.012503743831517117e-02,-4.471105297340427498e-01,6.841054074729411294e-01,4.600783391607657369e-02,5.246992267330872345e-02,8.179670357536530998e-08,4.757615442893575091e-05
2.500000000000000000e+01,3.479830747303213911e+01,1.590891330556620242e-01,8.450191982073201302e+01,-4.380576642692595613e+00,-3.019953969725978027e+01,1.342636268170936675e-01,-8.411162502767721705e-01,2.475454728882275912e+00,1.308048214034474577e-01,1.015610785267609117e-01,2.313878406365043730e-07,2.557069454777851150e-04
2.600000000000000000e+01,-2.088241301199196300e+02,9.470437835514128322e-02,2.402478894012805313e+02,1.905996366716220791e+01,-8.340958891439760237e+01,1.827422255961621000e-01,-2.150100244404367089e+00,3.982967841899853756e-01,3.976819951714010565e-02,2.735449243933852151e-02,5.069205061841406066e-08,3.853250211527482419e-05
2.700000000000000000e+01,-3.017250955473039653e+01,6.505489941092092165e-02,7.298639161249100482e+01,-3.248341363065520682e+00,-5.514370340945194471e+01,1.566011152264341622e-01,-2.326728860110490182e-01,1.842105513294278740e+00,1.230972623000122085e-01,5.825627727378684950e-02,2.011952123261613893e-07,2.254254272571268585e-04
2.800000000000000000e+01,-2.048340582878876148e+01,5.996522347166734213e-02,1.416260083919645183e+02,2.879541883153722637e+01,-5.591936526755944925e+01,1.504038823152224480e-01,-1.501822855764418430e+00,4.112820210538419841e-01,3.821379593200377456e-02,2.754453791434142984e-02,5.302021031474031236e-08,3.754817015664024306e-05
2.900000000000000000e+01,6.193158703446215441e+01,5.145053560130711245e-01,7.065233516749870546e+01,3.122588339141100988e+01,-2.942449098707506039e+01,1.398834908703114610e-01,-1.448306049296258502e+00,8.481304222995418307e-01,8.505215492365211793e-02,5.085835938367328640e-02,1.228808460966608564e-07,7.717855765892752513e-05
3.000000000000000000e+01,-8.870275375207317836e+01,8.215348725020685250e-02,3.523315593857054751e+01,2.240491528846682456e+00,-1.341560359056095564e+01,1.565858205026220973e-01,-1.237848903693571367e+00,7.790092491251594531e-01,9.438244227616113258e-02,4.787609226437559290e-02,1.278599320005972372e-07,9.186040381203496258e-05
3.100000000000000000e+01,4.748959313529751114e+01,8.466307514614404561e-02,4.108035166872116406e+01,3.210467701900602577e+01,-2.783265813393216437e+00,5.811052330570532637e-02,-1.015427803594410650e+00,7.293263377035933415e-01,6.333899915696641902e-02,3.220430408649444659e-02,1.133178999035406197e-07,6.771967151766488584e-05
3.200000000000000000e+01,8.581972791054681693e+00,1.265300834779970185e-01,2.277216916685433290e+01,5.004158324871549723e+01,-2.818075365883762373e+01,8.740485285315266473e-02,-5.478723316726081816e-01,2.111319644969902765e+00,1.097520479426199042e-01,8.650221802134283600e-02,1.801315049533211184e-07,2.326018148916109271e-04
3.300000000000000000e+01,3.220093034883998939e+01,1.084045103856456638e-01,4.480205918804600174e+01,2.167589575556430503e+01,5.231313977424822070e+00,4.975106574763936418e-02,-9.887485188985392082e-01,6.806470317455683983e-01,6.196836573428503303e-02,2.719837955566081419e-02,8.055421933405370892e-08,7.222960480982417364e-05
3.400000000000000000e+01,2.725830700224577186e+00,3.675907412280222247e-02,1.015696370132398130e+02,-2.220456765202586169e+00,1.198949840896343311e+01,6.979521441525207703e-02,-1.906190672170005485e+00,1.014794246416555579e+00,9.229153171808344991e-02,7.471641946045001759e-02,1.503319923049639919e-07,1.444127843137580768e-04
3.500000000000000000e+01,4.557582178232169667e+01,7.028038685871058899e-02,-1.009638226194678623e+01,1.006925008660097376e+00,1.791886982378108506e+00,1.282222502348419613e-01,-1.329885235954276324e+00,1.065562717411037807e+00,6.586399431294662210e-02,5.729006959526457970e-02,7.777838220600065548e-08,6.728175338310139590e-05
3.600000000000000000e+01,-1.019793807476084169e+02,1.015218989289954354e-01,2.363042227467381622e+02,2.926132146177435800e+01,-1.135594741138582009e+02,1.889309704351319619e-01,-1.345869099820410364e+00,5.098545660017353987e-01,4.789808236206644088e-02,2.937367893280308159e-02,5.308150347251566420e-08,5.193446809622364213e-05
3.700000000000000000e+01,3.555221477082137937e+01,6.050061812232553765e-02,-5.920981637935346242e+01,4.118310127274948229e+01,-8.539353806902205690e+00,1.052395723360551316e-01,-7.678628945199020284e-02,4.086939980195185007e-01,3.210104362295980451e-02,3.183773906879841520e-02,3.695765014028709895e-08,3.421754958673179736e-05
3.800000000000000000e+01,1.676318142724817335e+02,2.399589243031061969e-01,8.299790603906677688e+01,4.656702950872833213e+01,-6.541817357148235601e+01,2.273685440100576272e-01,-2.904409416567773405e+00,9.886884121099117628e-01,8.110467106552607386e-02,3.821596536150618367e-02,1.589929376657180898e-07,9.502218543044652316e-05
3.900000000000000000e+01,3.739550709935755890e+01,1.131925303241172881e-01,1.995971812237352765e+02,-6.130490745282482834e+00,-7.017574943488057215e+01,2.119470098631080490e-01,-2.970399331512053376e+00,1.498971630784625253e+00,8.300513369128469099e-02,4.967838704638612157e-02,1.356708481945055278e-07,1.697011773027441760e-04
4.000000000000000000e+01,4.204098730724929567e+01,5.955576165001147393e-02,1.523557523160312144e+02,2.476463729616090959e+01,-5.170091343552151386e+01,1.982355191083515766e-01,-3.171023612582696050e+00,5.753093448275532484e-01,5.351790449229276714e-02,2.841557892705097108e-02,1.014684150477588566e-07,4.869296688951370598e-05
4.100000000000000000e+01,4.656428694134447710e+01,7.374133317955836042e-02,6.272621529573297039e+01,2.661354397322732623e+01,-3.646116989568503897e+01,1.337106554543487369e-01,-1.285948624099847448e+00,4.159594827999352207e-01,3.919656280237036189e-02,3.082304313251419195e-02,5.729524813278229185e-08,4.083806502928144326e-05
