index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
1.700000000000000000e+01,2.464286625688107790e+01,3.340417181353811521e-02,3.215194583188269917e+01,-4.663404034780623419e+01,1.653000301668895444e-01,-1.012943116804035926e+00,2.813706838512965158e-02,1.614294555233501335e-02,2.455208840675160579e-08,1.929052222051372964e-05
1.800000000000000000e+01,-4.297815751608467139e+01,1.755870695883639254e-02,2.772797472959085852e+01,-3.847021408706947909e+01,1.570442458408990993e-01,-1.050463634005228020e+00,3.089592718396988111e-02,1.710599741660193129e-02,3.334023614068912377e-08,1.896736938206151828e-05
1.900000000000000000e+01,-6.775996672700816248e+01,3.656536323642101127e-02,1.623262958422748170e+01,1.015150879837345421e+01,6.943236635342964203e-02,-7.417741034399417677e-01,3.906124004706910957e-02,1.772939290071671309e-02,6.808511660232108003e-08,1.185884929827032269e-05
2.000000000000000000e+01,-1.327322439582476932e+01,3.036469768970992758e-02,5.747832162693880420e+00,7.216637846598025874e+00,8.533657866113536494e-02,-6.811849617978484872e-01,4.306776959920190911e-02,1.599849539453345945e-02,5.852115845284088905e-08,1.294317514506134124e-05
2.100000000000000000e+01,-2.787615425756973764e+01,2.576456297795486072e-02,7.942728554475753100e+00,-9.353669156439853083e+00,1.278928884810134337e-01,-1.037819566109770664e+00,3.612878450230833788e-02,1.495254972512876680e-02,4.427507627004197386e-08,1.872864643975957863e-05
2.200000000000000000e+01,-6.326701804035837995e+01,2.584468998134446804e-02,1.940059561344943262e+01,-3.149237018204353422e+00,5.366801117613585748e-02,-7.694794911200891763e-02,4.601370370928124787e-02,1.710029305066192162e-02,6.721152961354370166e-08,1.376479407795216871e-05
2.300000000000000000e+01,-5.938938513126690850e+02,5.019665098858572261e-01,1.041900720776680203e+02,-6.994238926313539650e+01,1.555358491595818515e-01,-1.278838959086564309e+00,1.905566984960270147e-02,1.200765758635327814e-02,1.535907251893508111e-08,9.340828202131711103e-06
2.400000000000000000e+01,-4.871865631905754412e+01,9.446814553572076625e-03,4.367512394315484414e+01,-9.838638555077402259e+00,8.902812133761886515e-02,-5.503848133449497082e-01,1.931335782070968746e-02,1.711569492510791810e-02,2.784333583527338783e-08,7.490428634994847608e-06
2.500000000000000000e+01,5.112966703644575261e+01,3.151375662375086040e-02,8.961426316473247056e+00,-9.459010493129206054e+00,1.265605788337412219e-01,-1.031927698738862365e+00,3.560819335091926913e-02,1.459651874169052253e-02,4.359689900198322917e-08,1.839172954918396705e-05
2.600000000000000000e+01,-1.562049706550116639e+02,2.299294525918684981e-02,4.037058336174693807e+01,-7.086817549459217958e+01,1.839089766019716965e-01,-2.410806493152689578e-01,2.560085200323483634e-02,1.706952223196417373e-02,3.748327683815728026e-08,7.874372785901687119e-06
2.700000000000000000e+01,-2.892923679420266581e+01,2.201047621290474696e-02,-2.442079066681003496e+00,-3.623058657036989416e+01,1.701405212171516190e-01,-4.376507132542177270e-01,4.775861413310879960e-02,2.027622544872264773e-02,8.422800576965746343e-08,1.595976056983739675e-05
